Date,Clicks,Impressions,CTR,Position
2025-10-01,0,0,,
2025-10-02,0,0,,
2025-10-03,0,0,,
2025-10-04,0,0,,
2025-10-05,0,0,,
2025-10-06,0,1,0%,9
2025-10-07,0,1,0%,5
2025-10-08,0,0,,
2025-10-09,0,0,,
2025-10-10,0,0,,
2025-10-11,0,0,,
2025-10-12,0,0,,
2025-10-13,0,0,,
2025-10-14,0,0,,
2025-10-15,0,0,,
2025-10-16,0,1,0%,9
2025-10-17,0,0,,
2025-10-18,0,0,,
2025-10-19,1,2,50%,6
2025-10-20,0,0,,
2025-10-21,0,0,,
2025-10-22,0,3,0%,7
2025-10-23,0,1,0%,9
2025-10-24,1,4,25%,4.5
2025-10-25,0,0,,
2025-10-26,2,2,100%,5.5
2025-10-27,3,7,42.86%,2.6
2025-10-28,3,7,42.86%,1
2025-10-29,3,8,37.5%,2
2025-10-30,1,2,50%,1
2025-10-31,2,2,100%,1
2025-11-01,0,1,0%,11
2025-11-02,0,6,0%,10.2
2025-11-03,1,3,33.33%,2
2025-11-04,2,7,28.57%,3.1
2025-11-05,0,10,0%,3.2
2025-11-06,2,10,20%,5.1
2025-11-07,0,3,0%,8.3
2025-11-08,1,9,11.11%,4.2
2025-11-09,3,9,33.33%,5.4
2025-11-10,0,8,0%,6.1
2025-11-11,1,10,10%,3
2025-11-12,3,13,23.08%,4.3
2025-11-13,0,10,0%,4.3
2025-11-14,1,7,14.29%,6
2025-11-15,1,6,16.67%,5.2
2025-11-16,1,5,20%,8.2
2025-11-17,0,8,0%,6
2025-11-18,0,6,0%,7.8
2025-11-19,1,13,7.69%,15.6
2025-11-20,2,5,40%,5.6
2025-11-21,1,4,25%,7.2
2025-11-22,0,9,0%,11.2
2025-11-23,0,1,0%,6
2025-11-24,0,5,0%,19.2
2025-11-25,1,3,33.33%,1
2025-11-26,0,4,0%,14
2025-11-27,0,7,0%,4.4
2025-11-28,0,6,0%,6.8
2025-11-29,0,4,0%,7.5
2025-11-30,0,6,0%,4.2
2025-12-01,0,6,0%,4.2
2025-12-02,2,9,22.22%,4.4
2025-12-03,3,11,27.27%,4.7
2025-12-04,1,10,10%,6.9
2025-12-05,0,4,0%,4
2025-12-06,3,11,27.27%,5.6
2025-12-07,0,5,0%,11
2025-12-08,1,6,16.67%,3.5
2025-12-09,5,13,38.46%,1.8
2025-12-10,3,13,23.08%,3.2
2025-12-11,0,1,0%,9
2025-12-12,0,10,0%,4.4
2025-12-13,0,3,0%,5.3
2025-12-14,1,12,8.33%,8.4
2025-12-15,0,10,0%,14.8
2025-12-16,0,1,0%,1
2025-12-17,1,10,10%,8.6
2025-12-18,1,9,11.11%,3.9
2025-12-19,0,6,0%,6.5
2025-12-20,1,5,20%,4.2
2025-12-21,0,6,0%,4.5
2025-12-22,0,3,0%,8.3
2025-12-23,1,5,20%,5.8
2025-12-24,0,2,0%,10.5
2025-12-25,0,6,0%,6.8
2025-12-26,1,6,16.67%,8.7
2025-12-27,2,6,33.33%,4
2025-12-28,0,4,0%,1
2025-12-29,0,8,0%,6.6
2025-12-30,0,10,0%,5.4
2025-12-31,1,3,33.33%,6.3
2026-01-01,0,8,0%,5.6
2026-01-02,0,10,0%,9.1
2026-01-03,1,3,33.33%,1
2026-01-04,0,0,,
2026-01-05,4,16,25%,4.3
2026-01-06,2,11,18.18%,6.3
2026-01-07,3,14,21.43%,2.7
