Country,Clicks,Impressions,CTR,Position
United Kingdom,23,72,31.94%,6.12
India,8,56,14.29%,5.52
United States,5,93,5.38%,6.59
France,4,22,18.18%,3.36
Nigeria,4,16,25%,2.19
Pakistan,4,8,50%,2.25
Philippines,2,23,8.7%,5.48
Netherlands,2,9,22.22%,4
Malaysia,2,7,28.57%,4.71
Switzerland,2,5,40%,3
Kenya,2,5,40%,4.4
Czechia,2,4,50%,2.75
Romania,2,2,100%,1
Palestine,2,2,100%,3
United Arab Emirates,1,13,7.69%,7.31
Mexico,1,9,11.11%,19.33
Bangladesh,1,6,16.67%,4.33
Saudi Arabia,1,6,16.67%,4.83
Belgium,1,4,25%,3.5
Spain,1,4,25%,3.5
Tunisia,1,3,33.33%,4.33
Argentina,1,2,50%,4.5
Finland,1,1,100%,1
Peru,1,1,100%,1
Canada,0,19,0%,7.26
Germany,0,12,0%,4.58
Brazil,0,10,0%,8.8
South Africa,0,9,0%,7
Australia,0,9,0%,9
Egypt,0,6,0%,2.5
Sweden,0,5,0%,3
Vietnam,0,5,0%,4.6
Morocco,0,4,0%,3.25
Indonesia,0,4,0%,7.75
Iran,0,3,0%,4.67
Iraq,0,3,0%,6
Costa Rica,0,3,0%,7
Colombia,0,3,0%,7.67
Poland,0,3,0%,23
Thailand,0,2,0%,2
Hungary,0,2,0%,5
Italy,0,2,0%,5.5
Qatar,0,2,0%,6
Austria,0,2,0%,6.5
New Zealand,0,2,0%,7
South Korea,0,2,0%,7.5
Ethiopia,0,2,0%,8
Ireland,0,2,0%,9.5
Japan,0,1,0%,1
Kuwait,0,1,0%,1
Malta,0,1,0%,1
Myanmar (Burma),0,1,0%,1
El Salvador,0,1,0%,1
Slovakia,0,1,0%,1
Ecuador,0,1,0%,2
Albania,0,1,0%,4
Latvia,0,1,0%,4
Algeria,0,1,0%,6
Ghana,0,1,0%,6
Lebanon,0,1,0%,6
Norway,0,1,0%,6
Singapore,0,1,0%,6
Yemen,0,1,0%,6
Denmark,0,1,0%,7
Georgia,0,1,0%,7
Israel,0,1,0%,7
Lithuania,0,1,0%,7
Portugal,0,1,0%,7
Serbia,0,1,0%,8
Syria,0,1,0%,8
Greece,0,1,0%,9
Jordan,0,1,0%,9
Taiwan,0,1,0%,9
Jamaica,0,1,0%,10
