start_time,end_time,start_time_iso,end_time_iso,amount_value,amount_currency,line_item,project_id,organization_id,organization_name,project_name
1759276800,1759363200,2025-10-01T00:00:00+00:00,2025-10-02T00:00:00+00:00,,,,,,,
1759363200,1759449600,2025-10-02T00:00:00+00:00,2025-10-03T00:00:00+00:00,0.00467874,usd,,proj_msEkJG1nRHDP4m14v2fKTfHS,org-KTuDSELFndjhGkIrrqOtCNz4,Personal,Default Project
1759449600,1759536000,2025-10-03T00:00:00+00:00,2025-10-04T00:00:00+00:00,1.6e-07,usd,,proj_msEkJG1nRHDP4m14v2fKTfHS,org-KTuDSELFndjhGkIrrqOtCNz4,Personal,Default Project
1759536000,1759622400,2025-10-04T00:00:00+00:00,2025-10-05T00:00:00+00:00,0.2,usd,,proj_msEkJG1nRHDP4m14v2fKTfHS,org-KTuDSELFndjhGkIrrqOtCNz4,Personal,Default Project
1759622400,1759708800,2025-10-05T00:00:00+00:00,2025-10-06T00:00:00+00:00,,,,,,,
1759708800,1759795200,2025-10-06T00:00:00+00:00,2025-10-07T00:00:00+00:00,0.8000002399999999,usd,,proj_msEkJG1nRHDP4m14v2fKTfHS,org-KTuDSELFndjhGkIrrqOtCNz4,Personal,Default Project
1759795200,1759881600,2025-10-07T00:00:00+00:00,2025-10-08T00:00:00+00:00,,,,,,,
1759881600,1759968000,2025-10-08T00:00:00+00:00,2025-10-09T00:00:00+00:00,0.44000047999999997,usd,,proj_msEkJG1nRHDP4m14v2fKTfHS,org-KTuDSELFndjhGkIrrqOtCNz4,Personal,Default Project
1759968000,1760054400,2025-10-09T00:00:00+00:00,2025-10-10T00:00:00+00:00,0.32,usd,,proj_msEkJG1nRHDP4m14v2fKTfHS,org-KTuDSELFndjhGkIrrqOtCNz4,Personal,Default Project
1760054400,1760140800,2025-10-10T00:00:00+00:00,2025-10-11T00:00:00+00:00,,,,,,,
1760140800,1760227200,2025-10-11T00:00:00+00:00,2025-10-12T00:00:00+00:00,,,,,,,
1760227200,1760313600,2025-10-12T00:00:00+00:00,2025-10-13T00:00:00+00:00,,,,,,,
1760313600,1760400000,2025-10-13T00:00:00+00:00,2025-10-14T00:00:00+00:00,,,,,,,
1760400000,1760486400,2025-10-14T00:00:00+00:00,2025-10-15T00:00:00+00:00,,,,,,,
1760486400,1760572800,2025-10-15T00:00:00+00:00,2025-10-16T00:00:00+00:00,,,,,,,
1760572800,1760659200,2025-10-16T00:00:00+00:00,2025-10-17T00:00:00+00:00,0.24,usd,,proj_msEkJG1nRHDP4m14v2fKTfHS,org-KTuDSELFndjhGkIrrqOtCNz4,Personal,Default Project
1760659200,1760745600,2025-10-17T00:00:00+00:00,2025-10-18T00:00:00+00:00,,,,,,,
1760745600,1760832000,2025-10-18T00:00:00+00:00,2025-10-19T00:00:00+00:00,,,,,,,
1760832000,1760918400,2025-10-19T00:00:00+00:00,2025-10-20T00:00:00+00:00,,,,,,,
1760918400,1761004800,2025-10-20T00:00:00+00:00,2025-10-21T00:00:00+00:00,,,,,,,
1761004800,1761091200,2025-10-21T00:00:00+00:00,2025-10-22T00:00:00+00:00,,,,,,,
1761091200,1761177600,2025-10-22T00:00:00+00:00,2025-10-23T00:00:00+00:00,,,,,,,
1761177600,1761264000,2025-10-23T00:00:00+00:00,2025-10-24T00:00:00+00:00,0.00046665,usd,,proj_msEkJG1nRHDP4m14v2fKTfHS,org-KTuDSELFndjhGkIrrqOtCNz4,Personal,Default Project
1761264000,1761350400,2025-10-24T00:00:00+00:00,2025-10-25T00:00:00+00:00,,,,,,,
1761350400,1761436800,2025-10-25T00:00:00+00:00,2025-10-26T00:00:00+00:00,,,,,,,
1761436800,1761523200,2025-10-26T00:00:00+00:00,2025-10-27T00:00:00+00:00,,,,,,,
1761523200,1761609600,2025-10-27T00:00:00+00:00,2025-10-28T00:00:00+00:00,,,,,,,
1761609600,1761696000,2025-10-28T00:00:00+00:00,2025-10-29T00:00:00+00:00,,,,,,,
1761696000,1761782400,2025-10-29T00:00:00+00:00,2025-10-30T00:00:00+00:00,,,,,,,
1761782400,1761868800,2025-10-30T00:00:00+00:00,2025-10-31T00:00:00+00:00,,,,,,,
1761868800,1761955200,2025-10-31T00:00:00+00:00,2025-11-01T00:00:00+00:00,,,,,,,
