start_time,end_time,start_time_iso,end_time_iso,amount_value,amount_currency,line_item,project_id,organization_id,organization_name
1772668800,1772755200,2026-03-05T00:00:00+00:00,2026-03-06T00:00:00+00:00,,,,,,
1772755200,1772841600,2026-03-06T00:00:00+00:00,2026-03-07T00:00:00+00:00,,,,,,
1772841600,1772928000,2026-03-07T00:00:00+00:00,2026-03-08T00:00:00+00:00,,,,,,
1772928000,1773014400,2026-03-08T00:00:00+00:00,2026-03-09T00:00:00+00:00,0.164145,usd,,,org-KTuDSELFndjhGkIrrqOtCNz4,Personal
1773014400,1773100800,2026-03-09T00:00:00+00:00,2026-03-10T00:00:00+00:00,5.2e-07,usd,,,org-KTuDSELFndjhGkIrrqOtCNz4,Personal
1773100800,1773187200,2026-03-10T00:00:00+00:00,2026-03-11T00:00:00+00:00,0.007747499999999999,usd,,,org-KTuDSELFndjhGkIrrqOtCNz4,Personal
1773187200,1773273600,2026-03-11T00:00:00+00:00,2026-03-12T00:00:00+00:00,,,,,,
1773273600,1773360000,2026-03-12T00:00:00+00:00,2026-03-13T00:00:00+00:00,,,,,,
1773360000,1773446400,2026-03-13T00:00:00+00:00,2026-03-14T00:00:00+00:00,,,,,,
1773446400,1773532800,2026-03-14T00:00:00+00:00,2026-03-15T00:00:00+00:00,,,,,,
1773532800,1773619200,2026-03-15T00:00:00+00:00,2026-03-16T00:00:00+00:00,,,,,,
1773619200,1773705600,2026-03-16T00:00:00+00:00,2026-03-17T00:00:00+00:00,,,,,,
1773705600,1773792000,2026-03-17T00:00:00+00:00,2026-03-18T00:00:00+00:00,,,,,,
1773792000,1773878400,2026-03-18T00:00:00+00:00,2026-03-19T00:00:00+00:00,,,,,,
1773878400,1773964800,2026-03-19T00:00:00+00:00,2026-03-20T00:00:00+00:00,,,,,,
1773964800,1774051200,2026-03-20T00:00:00+00:00,2026-03-21T00:00:00+00:00,,,,,,
1774051200,1774137600,2026-03-21T00:00:00+00:00,2026-03-22T00:00:00+00:00,,,,,,
1774137600,1774224000,2026-03-22T00:00:00+00:00,2026-03-23T00:00:00+00:00,,,,,,
1774224000,1774310400,2026-03-23T00:00:00+00:00,2026-03-24T00:00:00+00:00,,,,,,
1774310400,1774396800,2026-03-24T00:00:00+00:00,2026-03-25T00:00:00+00:00,,,,,,
1774396800,1774483200,2026-03-25T00:00:00+00:00,2026-03-26T00:00:00+00:00,,,,,,
1774483200,1774569600,2026-03-26T00:00:00+00:00,2026-03-27T00:00:00+00:00,,,,,,
