Top pages,Clicks,Impressions,CTR,Position
https://www.mycvbuddy.com/,52,423,12.29%,6.22
https://mycvbuddy.com/,19,69,27.54%,3.81
https://www.mycvbuddy.com/auth/signup,2,89,2.25%,3.7
https://www.mycvbuddy.com/upload,2,4,50%,7.5
https://mycvbuddy.com/help,1,28,3.57%,5.07
https://www.mycvbuddy.com/blog,0,29,0%,6.28
https://www.mycvbuddy.com/privacy,0,12,0%,5.83
https://www.mycvbuddy.com/blog/cv-writing-tips,0,11,0%,6.55
https://mycvbuddy.com/upload,0,8,0%,5.88
https://www.mycvbuddy.com/blog/how-to-beat-ats-systems,0,7,0%,7.14
https://www.mycvbuddy.com/#features,0,6,0%,1
https://www.mycvbuddy.com/#pricing,0,6,0%,1
https://www.mycvbuddy.com/auth/login,0,6,0%,1
https://mycvbuddy.com/blog,0,6,0%,5
https://mycvbuddy.com/privacy,0,4,0%,2.75
https://mycvbuddy.com/auth/signup,0,4,0%,5.25
https://mycvbuddy.com/dashboard,0,4,0%,5.25
https://www.mycvbuddy.com/terms,0,3,0%,5.33
https://www.mycvbuddy.com/dashboard,0,2,0%,7.5
https://www.mycvbuddy.com/help,0,1,0%,4
https://mycvbuddy.com/cover-letter,0,1,0%,8
